step,layer,parameter,M_syn,q_log_rms_drift,sqrt_q_q05,sqrt_q_q50,sqrt_q_q95,sqrt_q_norm,q_q05,q_q50,q_q95,q_norm,denominator_q05,denominator_q50,denominator_q95,max_inverse_denominator
0,conv1.weight,conv1.weight,2560,,0.008082569708496731,0.011831397383935115,0.013364868468574246,0.13801281523574002,6.532913977869473e-05,0.00013998200024115028,0.00017862141600962904,0.0016440686212624352,0.008082579708496731,0.011831407383935115,0.013364878468574246,167.32128577791138
0,conv1.bias,conv1.bias,2560,,0.016838656978946803,0.021204001543151003,0.030551421161430052,0.0919407579675581,0.0002908575591953509,0.00044971294598043554,0.0009334380918687615,0.0023138293889007457,0.016838666978946804,0.021204011543151005,0.030551431161430054,82.28138902097416
0,conv2.weight,conv2.weight,2560,,0.0005784243569503469,0.010322023927724659,0.02332106069711735,0.8660452305134112,3.346238899514933e-07,0.00010654419150171695,0.0005438718727980309,0.016599574986124896,0.000578434356950347,0.010322033927724659,0.023321070697117353,100000000.0
0,conv2.bias,conv2.bias,2560,,0.005900912757750114,0.0337286139926995,0.053036798451154915,0.20260860140862935,4.1809516745432135e-05,0.0011382270168220682,0.0028142236744028684,0.008772858536381146,0.005900922757750114,0.03372862399269949,0.05303680845115492,592.0961072409649
0,fc1.weight,fc1.weight,2560,,0.0,0.0027456227531584896,0.01424470677320041,2.8711087875921115,0.0,7.538444303713246e-06,0.00020291167105643601,0.04271507190080506,1e-08,0.0027456327531584896,0.01424471677320041,100000000.0
0,fc1.bias,fc1.bias,2560,,0.0005585914586383791,0.03671506220991766,0.05704709660911722,0.42214611692969234,5.279040151035216e-07,0.001348619247178414,0.0032543810894319555,0.020033690709559605,0.0005586014586383792,0.03671507220991767,0.05704710660911722,100000000.0
0,fc2.weight,fc2.weight,2560,,9.37482912805258e-06,0.013897869711518117,0.043290536088327475,0.7754996573622143,8.788871123826506e-11,0.00019315378726711467,0.001874070636978606,0.030423829934989603,9.38482912805258e-06,0.013897879711518117,0.043290546088327476,100000000.0
0,fc2.bias,fc2.bias,2560,,0.2889135251834345,0.2990111024283375,0.313032778850145,0.9486502595610703,0.08347467696285935,0.08940764847737145,0.0980324760809565,0.2850388813438715,0.2889135351834345,0.2990111124283375,0.313032788850145,3.482076392429839
50,conv1.weight,conv1.weight,2560,58.94306300763475,1274052800.0941982,111256717725.875,795533250622.1259,4130258419592.9023,1.6286753715676142e+18,1.5613007341573225e+22,6.328871577382078e+23,3.194151165045285e+24,1274052800.0941982,111256717725.875,795533250622.1259,1.0769077768745202e-09
50,conv1.bias,conv1.bias,2560,58.90998869999437,6724108295.978704,241618729733.07394,1104592194399.4067,2237656154245.2476,5.152583373567784e+19,8.095521207142154e+22,1.2619413062588873e+24,2.5011067166674326e+24,6724108295.978704,241618729733.07394,1104592194399.4067,4.2149854341375035e-10
50,conv2.weight,conv2.weight,2560,44.72787968100304,5389184.523194425,38990221.82621278,114786701.5953581,3993462184.615812,29043405611030.188,1520237406048106.5,1.317599050847338e+16,4.368229719891313e+17,5389184.523194435,38990221.82621278,114786701.59535812,5.525299476377383e-06
50,conv2.bias,conv2.bias,2560,44.96672382486684,54917547.21539457,162970584.22252023,343741334.2543395,1118751820.3823125,3289653320617589.0,2.656121141466221e+16,1.1819079031843426e+17,3.0159681000050285e+17,54917547.21539458,162970584.22252023,343741334.2543395,2.746426641830386e-08
50,fc1.weight,fc1.weight,2560,12.137915504993895,0.0003734005832996965,0.004379716980611928,103.3198881640873,164731617.09040344,1.3942799598231362e-07,1.9181920830502152e-05,10674.999290348056,2130190211259704.2,0.0003734105832996965,0.004379726980611928,103.3198881740873,100000000.0
50,fc1.bias,fc1.bias,2560,9.637886933789348,0.014596325369705827,0.048031968912474764,3.1020992279797612,10112.218031262944,0.00021305812892408928,0.0023070732926573187,9.708362002860357,51931246.63944339,0.014596335369705827,0.048031978912474765,3.102099237979761,286.2512789991831
50,fc2.weight,fc2.weight,2560,42.6277299162931,1470699.3156022674,9176719.34106903,33345435.16594916,572753052.0707191,2162969164035.6304,84212181440434.39,1111921480297707.6,2.1720411726420864e+16,1470699.3156022774,9176719.341069039,33345435.165949166,100000000.0
50,fc2.bias,fc2.bias,2560,0.7669981240218023,0.30391311102268137,0.3241301178579178,0.6523923126273099,1.3416407864998738,0.09236328125000001,0.10507812500000001,0.44246093749999965,0.7409271782679414,0.30391312102268137,0.32413012785791784,0.65239232262731,3.2935477698959006
100,conv1.weight,conv1.weight,2560,0.1153682192901297,1277643757.1143763,109772647524.36758,807104684231.6019,4099539602993.5083,1.6361270800272225e+18,1.4976999834283386e+22,6.514189473345831e+23,3.130728948050703e+24,1277643757.1143763,109772647524.36758,807104684231.6019,1.0616262604761184e-09
100,conv1.bias,conv1.bias,2560,0.06659976634545477,7090214719.141134,243229751242.6045,1112480856985.1284,2228963570580.7417,5.75414948685185e+19,8.237795969370904e+22,1.2718379946252645e+24,2.452202756111883e+24,7090214719.141134,243229751242.6045,1112480856985.1284,4.1322578746782875e-10
100,conv2.weight,conv2.weight,2560,0.08996309709083387,5377087.131983944,38694081.48493084,115006752.66874214,3996339522.3649664,28913066328062.8,1497231993479749.0,1.322655315941142e+16,4.3742808051165037e+17,5377087.131983954,38694081.48493085,115006752.66874215,8.035280025245874e-06
100,conv2.bias,conv2.bias,2560,0.03848049931047291,55862350.32047944,163056164.1039522,341927373.4797413,1118291593.4108975,3437377921724977.5,2.658741144119091e+16,1.1697329370911714e+17,3.0036716800819654e+17,55862350.320479445,163056164.1039522,341927373.4797413,2.7859130082234468e-08
