step,layer,parameter,M_syn,q_log_rms_drift,sqrt_q_q05,sqrt_q_q50,sqrt_q_q95,sqrt_q_norm,q_q05,q_q50,q_q95,q_norm,denominator_q05,denominator_q50,denominator_q95,max_inverse_denominator,v_q_log_rms_distance
0,conv1.weight,conv1.weight,2560,,0.00594467453019363,0.011920085460020602,0.014749082241271333,0.13852563191812392,3.536825319464489e-05,0.0001420884865478462,0.00021753966226919336,0.0017402549137629246,0.00594468453019363,0.011920095460020604,0.014749092241271333,226.51186637084675,1.8424493410116423e-16
0,conv1.bias,conv1.bias,2560,,0.00985705337410241,0.020183594208396417,0.034839987052384225,0.09023819534394566,9.75670784500051e-05,0.00040761614179753863,0.0012172934730001169,0.002534003274017363,0.009857063374102408,0.02018360420839642,0.034839997052384226,114.23339201261155,1.8424493410116423e-16
0,conv2.weight,conv2.weight,2560,,0.000420475105321614,0.0051069964465460214,0.021226794347988145,0.7220692568836649,1.7679931705904646e-07,2.6081414998622333e-05,0.000450576958885874,0.013077087479582184,0.000420485105321614,0.005107006446546021,0.021226804347988147,100000000.0,1.8424493410116423e-16
0,conv2.bias,conv2.bias,2560,,0.006918309690135683,0.033278452305900943,0.050980926619796765,0.19322482685923648,4.787756496970905e-05,0.001107519941872063,0.0025992914769927067,0.007778457606508055,0.006918319690135683,0.03327846230590094,0.05098093661979677,721.7386213653651,1.8424493410116423e-16
0,fc1.weight,fc1.weight,2560,,0.0,0.003291370138378014,0.016549366934360075,3.5014658625495834,0.0,1.0833117387899971e-05,0.0002738815459834925,0.05388910186216264,1e-08,0.003291380138378014,0.016549376934360076,100000000.0,1.8424493410116423e-16
0,fc1.bias,fc1.bias,2560,,0.0,0.03464764481282462,0.05660511095481413,0.39743058827116595,0.0,0.001200463846009536,0.00320415806311529,0.018777727755030303,1e-08,0.03464765481282463,0.05660512095481413,100000000.0,1.8424493410116423e-16
0,fc2.weight,fc2.weight,2560,,0.0,0.011685709557070057,0.05996994956511035,1.0463434115338663,0.0,0.00013655581152574467,0.003596423898390737,0.06753035570890777,1e-08,0.011685719557070057,0.05996995956511035,100000000.0,1.8424493410116423e-16
0,fc2.bias,fc2.bias,2560,,0.291911594944503,0.2992976040800477,0.30826138756214305,0.9494704957848121,0.0852124138968369,0.08958109410005713,0.09502528402589343,0.2853323998489139,0.29191160494450297,0.2992976140800476,0.30826139756214305,3.4276711880277486,1.8424493410116423e-16
50,conv1.weight,conv1.weight,2560,48.920329348101646,63088140.13482169,105603632.30604887,952080081459.1901,3265042272574.826,3980246355810603.5,1.1152141144243656e+16,9.064576732678925e+23,3.56206436304444e+24,63088140.1348217,105603632.30604887,952080081459.1901,1.774723183841026e-08,3.0453750488677342
50,conv1.bias,conv1.bias,2560,48.80976216419312,123395056.2469137,211704117.490547,446872014754.7437,1409085950435.6865,1.5294179057394368e+16,4.491452247715707e+16,5.044549472773989e+23,1.96862477824162e+24,123395056.24691372,211704117.490547,446872014754.7437,9.163458533602935e-09,3.0453750488677342
50,conv2.weight,conv2.weight,2560,45.412461351883785,4209530.6286790725,33806526.98186466,145511714.4187784,4750090820.738959,17720303659144.71,1142881269823876.0,2.1173672243984804e+16,6.177718605209846e+17,4209530.628679083,33806526.98186467,145511714.4187784,100000000.0,3.0453750488677342
50,conv2.bias,conv2.bias,2560,45.45298523087133,85344948.45418036,210511473.38864255,313885376.5915436,1307131756.7024965,7290380873048827.0,4.434763263747402e+16,9.853042770038277e+16,3.801699177350568e+17,85344948.45418037,210511473.38864255,313885376.5915436,1.6031713238424123e-08,3.0453750488677342
50,fc1.weight,fc1.weight,2560,15.848559503546735,0.0004611141578524217,0.008405071169125833,516.4386087215189,108361924.89540717,2.1262626803940334e-07,7.064522135857462e-05,266708.83677874465,547468828510173.2,0.0004611241578524217,0.008405081169125833,516.4386087315189,100000000.0,3.0453750488677342
