clip_rate,coefficient_mean,coefficient_std,coefficient_cv,norm_q10,norm_q50,norm_q90,norm_q99,coefficient_q10,coefficient_q50,coefficient_q90,contrib_conv1,contrib_conv2,contrib_fc1,contrib_fc2,aggregate_cosine,relative_distortion,clipping_alpha_star,clipping_shape_error,clipped_aggregate_norm,actual_noise_norm,expected_noise_norm,noisy_update_norm,update_norm,diagnostic_snr,method,step,epoch,train_loss,test_loss,test_accuracy,wall_seconds,config_fingerprint
1.0,0.0008629335789009929,0.00034296524600135875,0.3974410576822772,784.295166015625,1085.849853515625,2442.64404296875,3886.80126953125,0.0004094964824616909,0.0009209532290697098,0.0012750355526804924,0.000412131252232939,0.018390633165836334,0.960146963596344,0.02105027437210083,0.810913974740381,0.999672230208607,0.0003277977768256563,0.5851653830888106,0.12964301907533227,1.8980261675469965,1.897935625156794,1.9025521103895957,0.1902552110389596,0.06830738480108026,syn_diag,1,1,2.3067173957824707,,,2.3454438457265496,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0009299911325797439,0.000297034263310447,0.3193947093086777,798.03125,1016.7489013671875,1972.095458984375,3632.850341796875,0.0005070749903097749,0.0009835276287049055,0.00125308393035084,0.0004940700018778443,0.020612237975001335,0.9647036194801331,0.01419010292738676,0.7634322530554418,0.9995721294017843,0.00042793616549090924,0.6458879120925168,0.11182711572205521,1.9019209138344062,1.897935625156794,1.9051232156070903,0.19051232156070905,0.05892039447479043,syn_diag,2,1,2.313727378845215,,,2.411499318666756,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0009484136244282126,0.0002846050620714827,0.3000853748703252,808.9129638671875,1020.8494873046875,1881.251220703125,3073.589111328125,0.0005315623711794615,0.0009795833611860871,0.0012362269917503,0.0005113153019919991,0.020433874800801277,0.964544415473938,0.01451034378260374,0.9073859878063597,0.9993194265740789,0.0006806231549770064,0.4202983096913415,0.10778728882203398,1.9008806981784336,1.897935625156794,1.90402977445517,0.190402977445517,0.05679185710688821,syn_diag,3,1,2.3067712783813477,,,2.4737835759297013,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0008666540961712599,0.0003332728602780848,0.38455117910621367,779.4036865234375,1179.115234375,2047.79248046875,3373.188232421875,0.0004883314250037074,0.0008480949327349663,0.0012830336345359683,0.00043439114233478904,0.017916478216648102,0.9651941061019897,0.01645500957965851,0.8108802449012913,0.9994510574440687,0.0005490210975246735,0.5852121225864674,0.1027983533647332,1.8961725154014581,1.897935625156794,1.8990506587150722,0.18990506587150724,0.054163245582255486,syn_diag,4,1,2.3029069900512695,,,2.5330483485013247,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0008774377638474107,0.00029095471444241957,0.33159584634532335,803.43212890625,1140.322998046875,1913.452880859375,3284.771728515625,0.0005226154462434351,0.0008769448613747954,0.0012447626795619726,0.00044044811511412263,0.01683725044131279,0.9626902937889099,0.02003202587366104,0.8947515914617209,0.9992764625670828,0.0007236026929847353,0.44656420543198405,0.11023080973609632,1.9031808493997573,1.897935625156794,1.9061384481909158,0.1906138448190916,0.05807931959069041,syn_diag,5,1,2.2975664138793945,,,2.595148437656462,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0008215530542656779,0.0003023551845717719,0.36802877938402134,813.065185546875,1155.703369140625,2471.67724609375,3629.434814453125,0.0004046789836138487,0.0008652771357446909,0.0012299207737669349,0.0003967420198023319,0.016567373648285866,0.9562537670135498,0.026782121509313583,0.8357880307847572,0.9994898481421756,0.0005102080558762095,0.5490522448654606,0.1173862790052632,1.8970184431777697,1.897935625156794,1.9002782523995412,0.19002782523995412,0.06184945234667995,syn_diag,6,1,2.301069736480713,,,2.6597918728366494,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.000752766733057797,0.0002866400423083546,0.3807820380659611,883.8350830078125,1290.932861328125,2943.095703125,3639.197021484375,0.0003397798864170909,0.0007746373303234577,0.0011314363218843937,0.0003347834572196007,0.013411333784461021,0.9485602974891663,0.03769361227750778,0.8979001422742978,0.9996264975858794,0.00037351918672099365,0.4401991986595048,0.11655027814873509,1.902206092268894,1.897935625156794,1.9055556949694603,0.19055556949694605,0.06140897330964274,syn_diag,7,1,2.2992055416107178,,,2.722032238729298,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0007938210619613528,0.00027409417101862993,0.34528458286085645,904.388916015625,1213.244384765625,2255.515869140625,3446.679931640625,0.0004435607115738094,0.000824236311018467,0.0011057192459702492,0.00036493304651230574,0.017041128128767014,0.9495042562484741,0.03308969736099243,0.8750197401580352,0.9995268439738852,0.0004731903075295708,0.4840872383463371,0.11772204956772654,1.897301356598643,1.897935625156794,1.9007031181871243,0.19007031181871245,0.06202636591424914,syn_diag,8,1,2.2988433837890625,,,2.78509580809623,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0007841878104954958,0.0002765488798309834,0.3526564266079809,882.123291015625,1224.0716552734375,2757.161376953125,3643.80078125,0.0003627033729571849,0.0008169490611180663,0.0011336366878822446,0.00036659135366789997,0.015043627470731735,0.9413531422615051,0.04323664307594299,0.8503357474200307,0.9996217632985362,0.00037826411166840625,0.526240550181468,0.12811652347418398,1.9039278891410707,1.897935625156794,1.9078429939068424,0.19078429939068425,0.06750309218919498,syn_diag,9,1,2.284111738204956,,,2.8490632213652134,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0007220853003673255,0.0002844926834114981,0.3939876332462061,916.6292724609375,1372.927734375,3031.5400390625,3801.20166015625,0.0003298654919490218,0.0007283728336915374,0.001090953592211008,0.0003144045767839998,0.013679775409400463,0.9350330829620361,0.05097269266843796,0.9246123581544493,0.9996099033483136,0.0003901095709158975,0.3809094211829952,0.13793559698389518,1.8975386380380905,1.897935625156794,1.9027444320097013,0.19027444320097014,0.07267664675003255,syn_diag,10,1,2.2948827743530273,,,2.9116185633465648,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0006183148361742496,0.0002180245445157723,0.3526108913626075,1118.971923828125,1617.8065185546875,3133.638427734375,3923.01416015625,0.00031911791302263737,0.0006181210046634078,0.0008936909143812954,0.00023884361144155264,0.010153288021683693,0.9251394271850586,0.06446842104196548,0.8501185861380683,0.9996522350774454,0.000347788135959656,0.5265912926529117,0.11682023956244647,1.90472825378368,1.897935625156794,1.908202784813292,0.1908202784813292,0.06155121280930382,syn_diag,11,1,2.2900030612945557,,,2.972497006878257,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.000579115585424006,0.00023337727858864656,0.4029891289523126,1095.91845703125,1868.879638671875,3199.797607421875,3878.890625,0.00031252397457137704,0.0005350928986445069,0.0009124898933805525,0.0002109512424794957,0.009498553350567818,0.9219037890434265,0.06838669627904892,0.8915711584905154,0.9995763376061882,0.000423685562250527,0.45288063476388923,0.10976307577792203,1.8974387060069626,1.897935625156794,1.9008185833432552,0.19008185833432553,0.057832876059110985,syn_diag,12,1,2.28529691696167,,,3.0347137432545424,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0005558741977438331,0.00022280434524067557,0.40081795658764213,1162.185791015625,1929.1947021484375,3533.431640625,3971.219970703125,0.0002830111770890653,0.0005183514440432191,0.0008604568429291248,0.00019930151756852865,0.008366808295249939,0.9027522802352905,0.08868161588907242,0.9146766576526072,0.9996898558764146,0.00031015351835508246,0.40418635793784286,0.13627303060348492,1.8986339673648025,1.897935625156794,1.9033584809315909,0.1903358480931591,0.0718006600419628,syn_diag,13,1,2.2828049659729004,,,3.095461373217404,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0005187054048292339,0.00021399864919421766,0.4125629638666428,1261.584716796875,2110.125,3593.40966796875,4272.42626953125,0.0002782874507829547,0.0004739209543913603,0.0007926736725494266,0.000175096356542781,0.007446907460689545,0.8920462727546692,0.10033171623945236,0.8877790003244259,0.9996717236958604,0.00032829079337446315,0.46026997140725046,0.11353372699952247,1.8924709281450132,1.897935625156794,1.8955886879797048,0.1895588687979705,0.05981958792205257,syn_diag,14,1,2.282677173614502,,,3.157837244682014,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.0004963841056451201,0.00019059860819105765,0.3839740386165741,1368.287353515625,2167.394775390625,3440.42041015625,4264.4072265625,0.00029066670686006546,0.0004613834898918867,0.0007308613276109099,0.0001603987329872325,0.007040863856673241,0.8758940696716309,0.11690473556518555,0.9484381742604384,0.9996117893459374,0.0003882190736171677,0.3169621895499349,0.16236738044822838,1.8976143428418737,1.897935625156794,1.9045094023213751,0.19045094023213752,0.08554946663943314,syn_diag,15,1,2.2845640182495117,,,3.2199740689247847,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
1.0,0.00044444872764870524,0.0001437192468401929,0.32336519585179135,1618.280029296875,2338.364013671875,3589.01513671875,4564.669921875,0.00027864117873832583,0.000427652063081041,0.0006179404444992542,0.00012648326810449362,0.00535930972546339,0.810421884059906,0.18409231305122375,0.9091426471675572,0.9996386894374217,0.000361324266835431,0.41648487019129754,0.11944461644125513,1.8955749545980918,1.897935625156794,1.8994736703284287,0.18994736703284287,0.0629339661777646,syn_diag,16,1,2.2775943279266357,,,3.281415520235896,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
