method,metric,mean,std,n,mean_pm_std
dp_sgd,G_diag,,,0,N/A
dp_sgd,G_full,,,0,N/A
dp_sgd,best_accuracy,0.09375,,1,0.09375
dp_sgd,final_accuracy,0.09375,,1,0.09375
dp_sgd,late_aggregate_cosine,0.945737340658086,,1,0.945737340658086
dp_sgd,late_aggregate_cosine_iqr,0.0430788620068121,,1,0.0430788620068121
dp_sgd,late_aggregate_cosine_q25,0.92419790965468,,1,0.92419790965468
dp_sgd,late_aggregate_cosine_q75,0.9672767716614921,,1,0.9672767716614921
dp_sgd,late_coefficient_cv,0.46185813611508564,,1,0.46185813611508564
dp_sgd,late_coefficient_cv_iqr,0.2769019121696402,,1,0.2769019121696402
dp_sgd,late_coefficient_cv_q25,0.3234071800302655,,1,0.3234071800302655
dp_sgd,late_coefficient_cv_q75,0.6003090921999057,,1,0.6003090921999057
dp_sgd,late_mean_accuracy,0.09375,,1,0.09375
dp_sgd,late_norm_cv,0.2910068983361812,,1,0.2910068983361812
dp_sgd,late_norm_cv_iqr,0.11068691887068918,,1,0.11068691887068918
dp_sgd,late_norm_cv_q25,0.2356634389008366,,1,0.2356634389008366
dp_sgd,late_norm_cv_q75,0.3463503577715258,,1,0.3463503577715258
dp_sgd,late_shape_error,0.28974843153174,,1,0.28974843153174
dp_sgd,late_shape_error_iqr,0.14060917664792622,,1,0.14060917664792622
dp_sgd,late_shape_error_q25,0.21944384320777688,,1,0.21944384320777688
dp_sgd,late_shape_error_q75,0.3600530198557031,,1,0.3600530198557031
dp_sgd,late_snr,0.0017049371760566,,1,0.0017049371760566
dp_sgd,late_snr_iqr,0.00029528674871809996,,1,0.00029528674871809996
dp_sgd,late_snr_q25,0.00155729380169755,,1,0.00155729380169755
dp_sgd,late_snr_q75,0.00185258055041565,,1,0.00185258055041565
dp_sgd,mean_refresh_time,0.0,,1,0.0
dp_sgd,number_of_refreshes,0.0,,1,0.0
dp_sgd,oracle_A_diag_pre_conv1,,,0,N/A
dp_sgd,oracle_A_diag_pre_conv2,,,0,N/A
dp_sgd,oracle_A_diag_pre_fc1,,,0,N/A
dp_sgd,oracle_A_diag_pre_fc2,,,0,N/A
dp_sgd,oracle_A_diag_raw_conv1,,,0,N/A
dp_sgd,oracle_A_diag_raw_conv2,,,0,N/A
dp_sgd,oracle_A_diag_raw_fc1,,,0,N/A
dp_sgd,oracle_A_diag_raw_fc2,,,0,N/A
dp_sgd,oracle_R_diag_conv1,,,0,N/A
dp_sgd,oracle_R_diag_conv2,,,0,N/A
dp_sgd,oracle_R_diag_fc1,,,0,N/A
dp_sgd,oracle_R_diag_fc2,,,0,N/A
dp_sgd,oracle_R_full_conv1,,,0,N/A
dp_sgd,oracle_R_full_conv2,,,0,N/A
dp_sgd,oracle_R_full_fc1,,,0,N/A
dp_sgd,oracle_R_full_fc2,,,0,N/A
dp_sgd,oracle_S_full_pre_conv1,,,0,N/A
dp_sgd,oracle_S_full_pre_conv2,,,0,N/A
dp_sgd,oracle_S_full_pre_fc1,,,0,N/A
dp_sgd,oracle_S_full_pre_fc2,,,0,N/A
dp_sgd,oracle_S_full_raw_conv1,,,0,N/A
dp_sgd,oracle_S_full_raw_conv2,,,0,N/A
dp_sgd,oracle_S_full_raw_fc1,,,0,N/A
dp_sgd,oracle_S_full_raw_fc2,,,0,N/A
dp_sgd,peak_cuda_memory,84236800.0,,1,84236800.0
dp_sgd,peak_cuda_memory_allocated,84236800.0,,1,84236800.0
dp_sgd,peak_cuda_memory_reserved,96468992.0,,1,96468992.0
dp_sgd,preconditioner_state_bytes,0.0,,1,0.0
dp_sgd,refresh_A_new_diag_conv1,,,0,N/A
dp_sgd,refresh_A_new_diag_conv2,,,0,N/A
dp_sgd,refresh_A_new_diag_fc1,,,0,N/A
dp_sgd,refresh_A_new_diag_fc2,,,0,N/A
dp_sgd,refresh_A_old_diag_conv1,,,0,N/A
dp_sgd,refresh_A_old_diag_conv2,,,0,N/A
dp_sgd,refresh_A_old_diag_fc1,,,0,N/A
dp_sgd,refresh_A_old_diag_fc2,,,0,N/A
dp_sgd,refresh_S_new_full_conv1,,,0,N/A
dp_sgd,refresh_S_new_full_conv2,,,0,N/A
dp_sgd,refresh_S_new_full_fc1,,,0,N/A
dp_sgd,refresh_S_new_full_fc2,,,0,N/A
dp_sgd,refresh_S_old_full_conv1,,,0,N/A
dp_sgd,refresh_S_old_full_conv2,,,0,N/A
dp_sgd,refresh_S_old_full_fc1,,,0,N/A
dp_sgd,refresh_S_old_full_fc2,,,0,N/A
dp_sgd,refresh_delta_stale_diag_conv1,,,0,N/A
dp_sgd,refresh_delta_stale_diag_conv2,,,0,N/A
dp_sgd,refresh_delta_stale_diag_fc1,,,0,N/A
dp_sgd,refresh_delta_stale_diag_fc2,,,0,N/A
dp_sgd,refresh_delta_stale_full_conv1,,,0,N/A
