seed,run_id,method,learning_rate,config_fingerprint,step,layer,r,dimension,trace_A,trace_G,trace_F,clean_signal_energy,noisy_gradient_energy,expected_noise_energy,noise_debiased_energy_raw,beta_oracle_step,beta_dp_step_raw,beta_dp_step_positive,beta_dp_step_negative,refresh_index,active_beta_train,active_beta_source_interval,diagnostic_valid,oracle_diagnostic_error,dp_observation_recorded,optimizer_step_completed
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,conv1,1.7408297026122455e-05,160,3.141967296600342,0.00016000017058104277,0.0005027153034161125,4.7630595041485706e-05,0.002783842958319138,0.0027853275241795927,-1.4845658604547944e-06,0.09474665823343842,-0.0029530946250625177,0.0,True,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,conv2,1.7408297026122455e-05,4640,13.0750093460083,0.0003200027858838439,0.004184039416179952,0.0007602722265205206,0.0801856565073078,0.08077449820120819,-0.0005888416939003882,0.18170771135197689,-0.14073521669592765,0.0,True,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,fc1,1.7408297026122455e-05,200832,40.478214263916016,0.0012822934659197927,0.051904949662720856,0.010487598403101855,3.4987211635324336,3.496143108350225,0.0025780551822087716,0.20205391723237237,0.049668773382134324,0.049668773382134324,False,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,fc2,1.7408297026122455e-05,1290,1.6148760318756104,0.00011374336463632062,0.00018368143333608207,0.0013210438634755953,0.024540279794885166,0.022456703163697966,0.0020835766311872,7.192038081815707,11.34342537155009,11.34342537155009,False,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,conv1,1.7408297026122455e-05,160,3.141967296600342,0.00016000017058104277,0.0005027153034161125,6.0335147940953654e-05,0.0032367942684137898,0.0027853275241795927,0.00045146674423419703,0.12001852247376772,0.8980564967215738,0.8980564967215738,False,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,conv2,1.7408297026122455e-05,4640,13.0750093460083,0.0003200027858838439,0.004184039416179952,0.0007887873840050269,0.07960791246167347,0.08077449820120819,-0.0011665857395347229,0.1885229333535279,-0.2788180567858563,0.0,True,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,fc1,1.7408297026122455e-05,200832,40.478214263916016,0.0012822934659197927,0.051904949662720856,0.008571370599009087,3.4919591848717926,3.496143108350225,-0.004183923478432217,0.1651359004238706,-0.08060740845756358,0.0,True,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,fc2,1.7408297026122455e-05,1290,1.6148760318756104,0.00011374336463632062,0.00018368143333608207,0.0015625614380502437,0.0240550008234809,0.022456703163697966,0.0015982976597829351,8.506910087048503,8.701465525143897,8.701465525143897,False,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,2,conv1,1.7408297026122455e-05,160,3.141967296600342,0.00016000017058104277,0.0005027153034161125,3.0680214590040234e-05,0.0023134884578200152,0.0027853275241795927,-0.0004718390663595775,0.06102900465046178,-0.9385810679589004,0.0,True,0,1.0,,True,,True,True
456,dp_fisher_wiener_beta1_adam,dp_fisher_wiener_adaptive_beta,0.001,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,2,conv2,1.7408297026122455e-05,4640,13.0750093460083,0.0003200027858838439,0.004184039416179952,0.0006206571365242847,0.08329556179003386,0.08077449820120819,0.0025210635888256727,0.14833921834583183,0.6025429825246282,0.6025429825246282,False,0,1.0,,True,,True,True
