seed,run_id,method,config_fingerprint,step,epoch,train_loss,learning_rate,test_loss,test_accuracy,clip_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,refresh_time,diagnostic_spectrum_time,beta_observation_time,oracle_diagnostic_time,reconstruction_diagnostic_time,wiener_filter_time,beta_controller_time,active_state_bytes,diagnostics_finite,beta_diagnostics_finite,oracle_diagnostics_finite,oracle_diagnostic_error,beta_train,gamma_model,filtered_gradient_norm_before_gamma,compensated_gradient_norm,gamma_update_ratio,gamma_oracle,model_to_oracle_ratio,model_multiplicative_error,signal_retention_after_gamma,noise_retention_after_gamma,relmse_after_gamma,cosine_after_gamma,snr_gain_db_after_gamma
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,0,1,2.3073930740356445,0.5,,,1.0,0.12211170871740763,1.8984654668177823,1.9025539670314695,0.09276109000542294,241.7078674090282,0.7668429537931131,0.06553718726774067,0.533285857623859,0.3599249448172691,0.0008730226143613314,0.004137225695845543,1.7056725741174168,26.151864529172833,0.9968273976266763,0.6814801477599438,0.3407400738799719,0.054546839153270216,0.061055854358703816,0.8933924473796329,0.733697088085088,0.14636562298983335,0.004236537963151932,0.000638272613286972,0.0005523758009076118,0.01811558287590742,0.0014179963618516922,6.5891072154045105e-06,10905008,True,True,True,,,,0.09276109000542294,0.10909367830654043,1.176071543576759,,,,0.4644151917909148,0.0012910774222003624,0.8595071914959874,0.5253250552124106,25.55954131184029
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,1,1,2.297758102416992,0.5,,,1.0,0.10378473889904646,1.8992242353341693,1.902286730585674,0.08861702870176696,334.8771330121714,0.9144267914699211,0.056763335645066935,0.47703703751797993,0.3189810384430103,0.0009190618292217108,0.0029861698555288855,1.0364172800991551,25.40420138105064,0.997269366279971,0.6308249289342603,0.31541246446713017,0.05137435375475168,0.05189236944952323,0.9900174977312329,0.7926129375450118,0.0,0.0,0.0006232690066099167,0.0005493760108947754,0.017848127521574497,0.00133583415299654,6.604939699172974e-06,10905008,True,True,True,,,,0.08861702870176696,0.10274870750950336,1.1594691112392783,,,,0.3979400909649147,0.0013521685215667186,1.0625874388368277,0.4633994899086728,24.68786873331439
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,2,1,2.2845990657806396,0.5,,,1.0,0.1142644882820052,1.892532190276127,1.8960200106656475,0.09197023132145227,274.32411845939345,0.8469492897592508,0.06062874443124305,0.49752016810566124,0.3512822370076794,0.0010081391595188362,0.003645322932373348,1.2701988430388091,25.421357050091032,0.9969125963312468,0.6691863563840693,0.33459317819203466,0.054181622963857104,0.0571322441410026,0.9483545373990263,0.7471760223878287,0.0,0.0,0.0006505381315946579,0.0005716914311051369,0.017911973409354687,0.0013973396271467209,6.402842700481415e-06,10905008,True,True,True,,,,0.09197023132145227,0.10836324592771421,1.1782426157977732,,,,0.44781037957058667,0.0015135212773265622,0.9803635378104805,0.4845301806936319,24.71105624769034
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,3,1,2.2847232818603516,0.5,,,1.0,0.09483461306513166,1.8964041934079214,1.8987012934042853,0.07156715736354546,399.8785059104174,1.0389074661206452,0.04918106367068049,0.35154773586401417,0.2454039574381285,0.0009036927000518911,0.0025007595684889256,0.6790984308632977,24.338607876141133,0.9974019422130354,0.5658839693276737,0.28294198466383685,0.04361499074052519,0.04741730653256583,0.9198116453462186,0.8835733597351522,0.0,0.0,0.0006761765107512474,0.0005892608314752579,0.017534046433866024,0.0013636210933327675,6.528571248054504e-06,10905008,True,True,True,,,,0.07156715736354546,0.08722998148105038,1.2188549146634566,,,,0.32022466674204353,0.00139856296807075,1.2244863457069268,0.33787739057166344,23.59772757577035
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,4,1,2.2808098793029785,0.5,,,1.0,0.1071099340586737,1.8995613605059185,1.9023867798297098,0.08176057849026641,314.51919097354676,0.9176623363985937,0.054510558169587955,0.43559961596923835,0.2951535440285963,0.0009510025117068739,0.003179456225921251,0.9867773864113818,24.91866338153525,0.9970823327709897,0.619844987436684,0.309922493718342,0.0484802359653728,0.05355496702933685,0.905242569525075,0.8066532925706161,0.0,0.0,0.0005304226651787758,0.00045943353325128555,0.019226117059588432,0.0010935943573713303,5.188398063182831e-06,10905008,True,True,True,,,,0.08176057849026641,0.0969604719307456,1.185907361727984,,,,0.38420780845038305,0.001363437416805472,1.0388010567372927,0.4311899810887774,24.499309786490805
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,5,1,2.2955188751220703,0.5,,,1.0,0.10470547448665421,1.9009871846655444,1.9039719280444605,0.08256741469109813,329.6245878690917,0.9709526081901871,0.055980334412358314,0.4127019381900465,0.29547809947249665,0.0009932650011427637,0.0030337542668560052,0.9024861883161993,24.734601638676818,0.9970543683817193,0.6171617690856591,0.30858088454282956,0.04784402047061297,0.052352737243327105,0.9138781081747032,0.8101603583448673,0.0,0.0,0.000713057816028595,0.0006334017962217331,0.017820685170590878,0.0015127090737223625,7.119961082935333e-06,10905008,True,True,True,,,,0.08256741469109813,0.09568804094122595,1.1589080425881664,,,,0.38088864922094046,0.001480154141967348,1.1080957015880506,0.39779785095304787,24.10491085554664
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,6,1,2.2792179584503174,0.5,,,1.0,0.09873082984170665,1.8975686934767286,1.9003452810532686,0.0740383017623204,369.39366116940903,1.0183017154300447,0.054079333507864424,0.3627475036134023,0.21430151383215207,0.0008755548793824017,0.0027071390362557435,0.6626015195169027,23.887418660149958,0.9972433156751903,0.5459613336853828,0.2729806668426914,0.04557801032679312,0.04936541492085333,0.923278177625859,0.9158157714648993,0.0,0.0,0.0005446933209896088,0.00045717135071754456,0.019354269839823246,0.001100793480873108,5.4175034165382385e-06,10905008,True,True,True,,,,0.0740383017623204,0.09115602065358624,1.2312008579858784,,,,0.2980737778795219,0.0013785683660773468,1.1947297598918172,0.35618346086020236,23.34895463250003
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,7,1,2.278502941131592,0.5,,,1.0,0.09653566555678526,1.8966613191381396,1.8992735025630947,0.07255420154984786,386.0148249251867,1.0371779630658249,0.052454489254777754,0.3510563874972933,0.23141188773730176,0.0008585732137115779,0.002590574079858786,0.6982393911663102,24.306083298673137,0.9973131136523926,0.5460355282635141,0.27301776413175705,0.043526776658687885,0.04826783277839263,0.9017760722265351,0.9156913316413118,0.0,0.0,0.0007246974855661392,0.0006339186802506447,0.017761366441845894,0.001535283401608467,7.11437314748764e-06,10905008,True,True,True,,,,0.07255420154984786,0.08705355331737577,1.1998416557250131,,,,0.29815479812601486,0.0013239516036843736,1.208357815043306,0.3353616756514299,23.52569692512087
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,8,1,2.272264003753662,0.5,,,1.0,0.09485390206883847,1.8928351997235726,1.8949326269742202,0.07310683740962565,398.2127895307309,1.1303439226962217,0.047128254386907216,0.30080683025250193,0.21069003647759554,0.0010181492414585362,0.0025112201972895295,0.5196576821351164,23.158325560447615,0.9971614575111263,0.5253225763373957,0.2626612881686978,0.04339264177424897,0.04742695103441923,0.9149363563734602,0.9517961392124071,0.0,0.0,0.0006527509540319443,0.0005792202427983284,0.017512543126940727,0.0013696113601326942,6.365589797496796e-06,10905008,True,True,True,,,,0.07310683740962565,0.08678528354849795,1.1871021456205315,,,,0.2759638092097589,0.001481562263704775,1.3012434170748062,0.2928428383491749,22.701322230718727
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,9,1,2.2777438163757324,0.5,,,1.0,0.10371255623600212,1.8972052250394784,1.9004502594615942,0.08335166761115775,334.6308271384174,0.9867574160949569,0.058548331233401224,0.4100785298607596,0.271914369722042,0.0010214675279591324,0.002988367833466554,0.7955026797696957,24.252075937722253,0.9970512058780331,0.5915710221979864,0.2957855110989932,0.048888065963587544,0.05185627811800106,0.9427607945830206,0.8452070524708956,0.0,0.0,0.0005205255001783371,0.0004554940387606621,0.019250203855335712,0.0011094221845269203,5.593523383140564e-06,10905008,True,True,True,,,,0.08335166761115775,0.09777613192717509,1.1730554976213388,,,,0.34995627430437054,0.0014401480844813228,1.124261232434134,0.4054775546865208,23.85606633020569
