seed,method,step,epoch,train_loss,test_loss,test_accuracy,syn_refresh,epsilon_spent,update_norm,max_inverse_denominator,q_log_rms_drift,v_q_log_rms_distance,clip_rate,clip_factor_q05,clip_factor_q50,clip_factor_q95,private_norm_q05,private_norm_q50,private_norm_q95,actual_noise_norm,expected_noise_norm,clipped_aggregate_norm,noisy_gradient_norm,first_moment_q05,first_moment_q50,first_moment_q95,first_moment_norm,denominator_q05,denominator_q50,denominator_q95,denominator_norm,denominator_max_inverse,second_moment_q05,second_moment_q50,second_moment_q95,second_moment_norm,batch_hash,noise_hash
91,syn_adam,1,1,2.301727294921875,,,True,0.6724685454481966,62894.163663940555,100000000.60774711,,,1.0,0.15638166666030884,0.17972757667303085,0.23339016363024712,4.28471565246582,5.563981771469116,6.394716858863831,1.9027749503578344,1.897935625156794,0.0916288685294725,1.904847513019995,-0.0068976869340986015,4.058788817928871e-06,0.006871948763728141,1.9048475417850061,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,43b6af296bccd51ab7beeddbf95f0ccfc36c5133fecfa99396ab386f56be10ff,dfd11d95addf9285ed918569e021d6d84ca0a1f188de1e200017f4876b0f0cd8
91,syn_adam,2,1,531879584.0,,,False,0.6793151229442053,44406.49933755176,100000000.60774711,,,0.81640625,1.2803415966322618e-10,2.390796866036382e-10,1.0,0.0,4183357184.0,7810505088.0,1.9000100044419352,1.897935625156794,0.5183982148528814,1.9699759630039952,-0.004877382004633546,2.004717771342257e-06,0.004850537795573473,1.3757431403520206,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,d1086845ed7f3b94aa830e7183806d3880e77daeb6e345f8835e1ebd38dcdb00,eb753a0728b522b9f6dcb1554465af4a0c0dd62b7e337f5d20e0671d468a343e
91,syn_adam,3,1,2356269568.0,,,False,0.6861617004402139,36228.39900047978,100000000.60774711,,,0.875,2.5850060807186548e-11,5.3160996438261776e-11,1.0,0.0,18810791936.0,38694788096.0,1.8968773182426315,1.897935625156794,0.48056475811061894,1.9571406957343258,-0.004000226478092372,4.1910927848221036e-06,0.003982610045932228,1.1443611086090666,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,6bef7945f3b12ebb96d02843c1aaf98132e92ef1563b39ad4cbb9562b9fc5fc6,50f334001aa3b8d54cdebdf0c239726dbf82adfe106a1d460c44955b91cc0ffd
91,syn_adam,4,1,4041050112.0,,,False,0.6930082779362224,31800.423783010723,100000000.60774711,,,0.859375,1.3421270171620758e-11,2.9092958944709757e-11,1.0,0.0,34373530624.0,74508636160.0,1.9006107230822347,1.897935625156794,0.4901107805625688,1.9627143840053378,-0.0034711315995082257,9.04793569134199e-06,0.0034571236115880297,1.0170235839775341,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,4f7f03461b05a1a7b98870947384dda59eafdff7c4d3f9da6355993e59e7d16e,4150a82cf1b6309fce5f7bde599c02c72ea0bdfe00b17e5963d1ace13e113f81
91,syn_adam,5,1,6081220608.0,,,False,0.6998548554322311,28707.983518805868,100000000.60774711,,,0.87890625,7.970188094577613e-12,1.674229244824632e-11,1.0,0.0,59732910080.0,125468825600.0,1.9060872515393936,1.897935625156794,0.44489832045225725,1.9577911430306136,-0.003113748750183731,5.605939350061817e-06,0.0031254595029167826,0.9326062588899579,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,c3a9c04a1745fc34391919a46e2192ed7b34e9e6cb30fc0ccd1773dac18f220f,0649549f1da6269a47fe2f873d532472ae21329651fb1d76492a9119eca364ec
91,syn_adam,6,1,7005330432.0,,,False,0.7067014329282397,26358.56550278957,100000000.60774711,,,0.859375,6.013055721745819e-12,1.210379669755457e-11,1.0,0.0,82620178432.0,166328877056.0,1.8988381975277164,1.897935625156794,0.43235906981144273,1.9477150786807171,-0.002851608523633331,3.5540402905098745e-06,0.002861870650667697,0.8720095326979241,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,9e1535e081b0548e6b2c5b74df151a637c475b5c9eccd0ec1bda0884c9c8f69e,c80a0ff94c17f4ec3f017529b6c2668ab32315560b31278767965b170cce60fe
91,syn_adam,7,1,9992462336.0,,,False,0.7135480104242483,24396.43716344864,100000000.60774711,,,0.8828125,4.302339517633924e-12,9.119477308722201e-12,1.0,0.0,109657272320.0,232432615424.0,1.8969895017731517,1.897935625156794,0.5177231366342243,1.9653531006775502,-0.0026477788807824252,1.533729459879396e-06,0.0026574092218652357,0.8320640465304875,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,ca8bc083a832c81f8406aa0828ab5b32f6e744fff59a1d414727313c2ae2d795,6d599bc74d6f93c8269e4317dedde8592591730256e062cdb6cdc97b7050cba1
91,syn_adam,8,1,13512901632.0,,,False,0.720394587920257,22918.103885218832,100000000.60774711,,,0.88671875,3.1383035818503824e-12,6.3346155577959085e-12,1.0,0.0,157869178880.0,318656684032.0,1.897914982783424,1.897935625156794,0.551280998487852,1.9751152947580655,-0.0024988345219753684,4.201371211820515e-06,0.002513728360645473,0.8052386956551844,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,c3c6632fc15f5b7df121e05267bcf199d41e842af4104912f20f603d7b4a1ed1,d8a64e09744b885cc9dd7cefe275a7c8e4d047afd7cc104538d852cd8a364776
91,syn_adam,9,1,14913044480.0,,,False,0.7272411654162656,21798.823514287727,100000000.60774711,,,0.90625,2.5379347061427193e-12,5.169343685745842e-12,1.0,0.0,193448173568.0,394031013888.0,1.9014692530624535,1.897935625156794,0.5989284114137229,1.9932741506806169,-0.0023670639842748643,5.761202828580281e-06,0.0023828894947655493,0.7839583447451389,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,c99a7c936188c3704fc9ec3e9db0b7ede426ed2c02752ae2b92eb45a30f1ced9,cb63ded32556a7172b0a4a97fc8b0a2fddb742abcd84482353ecd014294b8d64
91,syn_adam,10,1,16469163008.0,,,False,0.7340877429122742,20829.037271213132,100000000.60774711,,,0.87109375,2.0817151713363458e-12,4.250543927247774e-12,1.0,0.0,235264901120.0,480375463936.0,1.8927572379188426,1.897935625156794,0.6355490033792253,1.9959693653708195,-0.0022602433804422618,-1.3508335428014107e-07,0.0022763902437873186,0.7632424865652541,9.99999993922529e-09,0.003134900121949613,0.01644464479759335,3.565213891719806,100000000.60774711,0.0,9.827536052358737e-06,0.00027042604405767584,0.2948320261981181,0e9dad87bbc9a5b6fec18f9a7fed7e9df7e55c37704f56586d84b811bef5daec,21d7bdc6fe4e83f4f46bc0cded063022e9e063481e9f5bf61048c5e04189c74a
