seed,run_id,method,config_fingerprint,step,layer,learning_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,kappa,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,trace_A,trace_G,trace_F,lambdaF_mean,lambdaF_median,lambdaF_q10,lambdaF_q90,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,parameter_update_norm,filter_gradient_norm_ratio,beta_train,alpha,clean_gradient_distortion
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,conv1,0.001,0.006230401591973249,0.05290791329196135,0.05451089756055738,0.04283951337021112,72.1122711054882,43.84751754992281,0.31064954406122225,0.3221586531919104,0.6591385007812192,0.6145894372074178,0.013867265009843057,0.014872446458262011,0.3039159891002037,0.3919548384474373,,,,,,,0.07725307924941337,0.7819426219910384,0.03301397978691729,0.7560591101646423,0.8500551581382751,0.7584540009498596,0.7587384581565857,0.7644259631633759,0.7817081809043884,0.8420979976654053,3.14047908782959,0.0001600001414772123,0.0005024771089665592,3.140480931840273e-06,1.0666406069503864e-06,6.094787380561685e-07,1.0161716272705225e-05,0.04283951337021112,0.004283951418930498,0.0013547043982538609,12.64890823821147,0.012648896966510222,0.7858889742664711,1.0,0.25,0.19211082444851535
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,conv2,0.001,0.029191113156295873,0.2789248139360987,0.28055176575994184,0.212535712315341,91.30046527091942,52.24157092607049,0.10759735409908659,0.12148359129103734,0.6965984555109129,0.5715468136998269,0.010952846689732253,0.013349275883295583,0.8593069974629025,0.42780608214448246,,,,,,,0.1931127660024379,0.7555138757002765,0.020961881897525368,0.7501199841499329,0.9579271674156189,0.750200092792511,0.7503530979156494,0.7507448196411133,0.7519413828849792,0.7591108679771423,13.789117813110352,0.0003200028440915048,0.004412556998431683,9.509821809020717e-07,5.201802721899185e-08,1.3944386090258831e-08,6.584114657925966e-07,0.212535712315341,0.021253571585982213,0.006720969514279125,68.1159994907138,0.06811598575530693,0.757563267298058,1.0,0.25,0.18267075472162525
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,fc1,0.001,0.10897651229139631,1.8682863660334967,1.8714020487336818,1.4059774304655666,293.914545891388,165.7891896636538,0.05768288045746194,0.06446954125563462,0.6979910554268193,0.5638755629993003,0.0034023494716217454,0.004211584354170446,0.9266658357464792,0.43592723809977285,,,,,,,0.20356680906379265,0.7508962988302021,0.0070885565273489555,0.7500011920928955,0.9890223741531372,0.7500041127204895,0.7500360012054443,0.7501355409622192,0.7503681778907776,0.7508553862571716,45.48963165283203,0.0012824676232412457,0.05833898112177849,2.9048496122677845e-07,9.444633519706258e-09,2.851197861142296e-10,5.976607013735702e-08,1.4059774304655666,0.14059774544138468,0.04446091123803207,448.12845695464983,0.4481284259269229,0.751296297563074,1.0,0.25,0.1995348675943424
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,fc2,0.001,0.030359289716828185,0.14902396316120808,0.1535202033430455,0.11601194133732408,24.095115035517267,13.595902292477312,0.24480938623164986,0.26253218304914916,0.6437803301099612,0.5648475062846551,0.04150218819856056,0.04730177994651341,0.5680648791944521,0.4357403037161621,,,,,,,4.739995226339623,0.7511379975681157,0.01115951484821149,0.7500014305114746,0.8790190815925598,0.7500017881393433,0.7500138282775879,0.7500697672367096,0.75015988945961,0.7503938138484955,1.7096904516220093,0.00011373334564268589,0.00019444881763774902,1.5073545763155734e-07,4.8587522893939195e-09,1.2306233948544686e-10,2.746530594066599e-08,0.11601194133732408,0.01160119431888087,0.0036686197883386887,35.91599077975144,0.03591598369676518,0.7556786586459368,1.0,0.25,0.2095337519639993
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,1,conv1,0.001,0.008603585506001803,0.05302934593582147,0.05410966219186732,0.04248223767675932,37.990374673740234,23.27192819591508,0.20381371700307607,0.21359105292880204,0.694335486235629,0.6142911691850241,0.026322456535972573,0.02975236632230454,0.5319509533301672,0.38742567327914434,,,,,,,0.1473135434249146,0.7819426219910384,0.03301397978691729,0.7560591101646423,0.8500551581382751,0.7584540009498596,0.7587384581565857,0.7644259631633759,0.7817081809043884,0.8420979976654053,3.14047908782959,0.0001600001414772123,0.0005024771089665592,3.140480931840273e-06,1.0666406069503864e-06,6.094787380561685e-07,1.0161716272705225e-05,0.04248223767675932,0.006247947388309502,0.0019073881011497402,9.234694123533723,0.009234699859510483,0.785113710858546,1.0,0.25,0.16999516048709476
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,1,conv2,0.001,0.031967454682328714,0.2839840133683549,0.2858752369495076,0.2163354421765313,78.917200042041,45.0670142990928,0.11487676393016642,0.12783543629376634,0.7286989200995914,0.5709329259401927,0.012671508853283256,0.01617302910153462,1.0596303665468652,0.42893292875918376,,,,,,,0.23159319165698222,0.7555138757002765,0.020961881897525368,0.7501199841499329,0.9579271674156189,0.750200092792511,0.7503530979156494,0.7507448196411133,0.7519413828849792,0.7591108679771423,13.789117813110352,0.0003200028440915048,0.004412556998431683,9.509821809020717e-07,5.201802721899185e-08,1.3944386090258831e-08,6.584114657925966e-07,0.2163354421765313,0.028978031884789073,0.00958787181878394,48.429735404218604,0.04842973923645667,0.7567477494202876,1.0,0.25,0.1692862723813651
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,1,fc1,0.001,0.11275086120628228,1.8724324101303942,1.8759605815317915,1.409488449474724,275.7862210538663,155.55823478065508,0.06131382181156638,0.06857636455052568,0.7150172634555436,0.5639266585726244,0.00362599696279146,0.004597495767265632,1.0309390206127966,0.43594631310377463,,,,,,,0.21791187398359668,0.7508962988302021,0.0070885565273489555,0.7500011920928955,0.9890223741531372,0.7500041127204895,0.7500360012054443,0.7501355409622192,0.7503681778907776,0.7508553862571716,45.48963165283203,0.0012824676232412457,0.05833898112177849,2.9048496122677845e-07,9.444633519706258e-09,2.851197861142296e-10,5.976607013735702e-08,1.409488449474724,0.18933255847016278,0.06294007996165053,317.22948695036337,0.31722950267769917,0.7513422527907406,1.0,0.25,0.19378766209024015
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,1,fc2,0.001,0.03182369334613394,0.1489607300363932,0.15383002403590934,0.11606700476518642,21.91000223367559,12.342634180032219,0.2540246543572865,0.26861087528457545,0.6512255191630106,0.5650635493002125,0.04564125499861995,0.052600720831338425,0.6163411797548458,0.4366666854782245,,,,,,,5.208298334151778,0.7511379975681157,0.01115951484821149,0.7500014305114746,0.8790190815925598,0.7500017881393433,0.7500138282775879,0.7500697672367096,0.75015988945961,0.7503938138484955,1.7096904516220093,0.00011373334564268589,0.00019444881763774902,1.5073545763155734e-07,4.8587522893939195e-09,1.2306233948544686e-10,2.746530594066599e-08,0.11606700476518643,0.01600767920960175,0.005188146364024969,25.595529556365126,0.02559553118359225,0.7545146371302152,1.0,0.25,0.2055095610884957
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,2,conv1,0.001,0.00790586176092878,0.058538765211030575,0.05892472034945898,0.046027471036897714,54.82626684752246,33.51132597954121,0.11574339970313027,0.11883368171063646,0.6908619753478653,0.6105448265892103,0.01823943232337821,0.02063882927340654,0.5367374112886082,0.3887724279502658,,,,,,,0.12438904965656165,0.7819426219910384,0.03301397978691729,0.7560591101646423,0.8500551581382751,0.7584540009498596,0.7587384581565857,0.7644259631633759,0.7817081809043884,0.8420979976654053,3.14047908782959,0.0001600001414772123,0.0005024771089665592,3.140480931840273e-06,1.0666406069503864e-06,6.094787380561685e-07,1.0161716272705225e-05,0.046027471036897714,0.006923230627877504,0.0023985452887290504,7.33283538674698,0.007332830058531746,0.781123283469606,1.0,0.25,0.1723240012013502
123,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,2,conv2,0.001,0.02966260130349426,0.2905584137412623,0.29199369360572,0.22098485881514948,95.95076517111711,54.8136301066958,0.0990611518131639,0.11329647526183503,0.7251903676399287,0.5706275669224,0.010422011716824131,0.01324496563961499,1.0409927888792545,0.42873170413708783,,,,,,,0.19940137117852133,0.7555138757002765,0.020961881897525368,0.7501199841499329,0.9579271674156189,0.750200092792511,0.7503530979156494,0.7507448196411133,0.7519413828849792,0.7591108679771423,13.789117813110352,0.0003200028440915048,0.004412556998431683,9.509821809020717e-07,5.201802721899185e-08,1.3944386090258831e-08,6.584114657925966e-07,0.22098485881514945,0.03399003121742932,0.01186042453294526,39.651383822388446,0.03965138463456318,0.7568138067856564,1.0,0.25,0.17105035165661556
