clip_rate,coefficient_mean,coefficient_std,coefficient_cv,norm_q10,norm_q50,norm_q90,norm_q99,coefficient_q10,coefficient_q50,coefficient_q90,contrib_conv1,contrib_conv2,contrib_fc1,contrib_fc2,aggregate_cosine,relative_distortion,clipping_alpha_star,clipping_shape_error,clipped_aggregate_norm,actual_noise_norm,expected_noise_norm,noisy_update_norm,update_norm,diagnostic_snr,method,step,epoch,train_loss,test_loss,test_accuracy,wall_seconds,config_fingerprint
1.0,0.0008629335789009929,0.00034296524600135875,0.3974410576822772,784.295166015625,1085.849853515625,2442.64404296875,3886.80126953125,0.0004094964824616909,0.0009209532290697098,0.0012750355526804924,0.000412131252232939,0.018390633165836334,0.960146963596344,0.02105027437210083,0.810913974740381,0.999672230208607,0.0003277977768256563,0.5851653830888106,0.12964301907533227,1.8980261675469965,1.897935625156794,1.9025521103895957,0.1902552110389596,0.06830738480108026,syn_diag,1,1,2.3067173957824707,,,1.9105582693591714,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0009299911325797439,0.000297034263310447,0.3193947093086777,798.03125,1016.7489013671875,1972.095458984375,3632.850341796875,0.0005070749903097749,0.0009835276287049055,0.00125308393035084,0.0004940700018778443,0.020612237975001335,0.9647036194801331,0.01419010292738676,0.7634322530554418,0.9995721294017843,0.00042793616549090924,0.6458879120925168,0.11182711572205521,1.9019209138344062,1.897935625156794,1.9051232156070903,0.19051232156070905,0.05892039447479043,syn_diag,2,1,2.313727378845215,,,1.9615654116496444,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0009484136244282126,0.0002846050620714827,0.3000853748703252,808.9129638671875,1020.8494873046875,1881.251220703125,3073.589111328125,0.0005315623711794615,0.0009795833611860871,0.0012362269917503,0.0005113153019919991,0.020433874800801277,0.964544415473938,0.01451034378260374,0.9073859878063597,0.9993194265740789,0.0006806231549770064,0.4202983096913415,0.10778728882203398,1.9008806981784336,1.897935625156794,1.90402977445517,0.190402977445517,0.05679185710688821,syn_diag,3,1,2.3067712783813477,,,2.0111491046845913,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0008666540961712599,0.0003332728602780848,0.38455117910621367,779.4036865234375,1179.115234375,2047.79248046875,3373.188232421875,0.0004883314250037074,0.0008480949327349663,0.0012830336345359683,0.00043439114233478904,0.017916478216648102,0.9651941061019897,0.01645500957965851,0.8108802449012913,0.9994510574440687,0.0005490210975246735,0.5852121225864674,0.1027983533647332,1.8961725154014581,1.897935625156794,1.8990506587150722,0.18990506587150724,0.054163245582255486,syn_diag,4,1,2.3029069900512695,,,2.0592772644013166,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0008774377638474107,0.00029095471444241957,0.33159584634532335,803.43212890625,1140.322998046875,1913.452880859375,3284.771728515625,0.0005226154462434351,0.0008769448613747954,0.0012447626795619726,0.00044044811511412263,0.01683725044131279,0.9626902937889099,0.02003202587366104,0.8947515914617209,0.9992764625670828,0.0007236026929847353,0.44656420543198405,0.11023080973609632,1.9031808493997573,1.897935625156794,1.9061384481909158,0.1906138448190916,0.05807931959069041,syn_diag,5,1,2.2975664138793945,,,2.108770225197077,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0008215530542656779,0.0003023551845717719,0.36802877938402134,813.065185546875,1155.703369140625,2471.67724609375,3629.434814453125,0.0004046789836138487,0.0008652771357446909,0.0012299207737669349,0.0003967420198023319,0.016567373648285866,0.9562537670135498,0.026782121509313583,0.8357880307847572,0.9994898481421756,0.0005102080558762095,0.5490522448654606,0.1173862790052632,1.8970184431777697,1.897935625156794,1.9002782523995412,0.19002782523995412,0.06184945234667995,syn_diag,6,1,2.301069736480713,,,2.1570605421438813,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.000752766733057797,0.0002866400423083546,0.3807820380659611,883.8350830078125,1290.932861328125,2943.095703125,3639.197021484375,0.0003397798864170909,0.0007746373303234577,0.0011314363218843937,0.0003347834572196007,0.013411333784461021,0.9485602974891663,0.03769361227750778,0.8979001422742978,0.9996264975858794,0.00037351918672099365,0.4401991986595048,0.11655027814873509,1.902206092268894,1.897935625156794,1.9055556949694603,0.19055556949694605,0.06140897330964274,syn_diag,7,1,2.2992055416107178,,,2.2053406527265906,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0007938210619613528,0.00027409417101862993,0.34528458286085645,904.388916015625,1213.244384765625,2255.515869140625,3446.679931640625,0.0004435607115738094,0.000824236311018467,0.0011057192459702492,0.00036493304651230574,0.017041128128767014,0.9495042562484741,0.03308969736099243,0.8750197401580352,0.9995268439738852,0.0004731903075295708,0.4840872383463371,0.11772204956772654,1.897301356598643,1.897935625156794,1.9007031181871243,0.19007031181871245,0.06202636591424914,syn_diag,8,1,2.2988433837890625,,,2.2521210815757513,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0007841878104954958,0.0002765488798309834,0.3526564266079809,882.123291015625,1224.0716552734375,2757.161376953125,3643.80078125,0.0003627033729571849,0.0008169490611180663,0.0011336366878822446,0.00036659135366789997,0.015043627470731735,0.9413531422615051,0.04323664307594299,0.8503357474200307,0.9996217632985362,0.00037826411166840625,0.526240550181468,0.12811652347418398,1.9039278891410707,1.897935625156794,1.9078429939068424,0.19078429939068425,0.06750309218919498,syn_diag,9,1,2.284111738204956,,,2.3019911954179406,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
1.0,0.0007220853003673255,0.0002844926834114981,0.3939876332462061,916.6292724609375,1372.927734375,3031.5400390625,3801.20166015625,0.0003298654919490218,0.0007283728336915374,0.001090953592211008,0.0003144045767839998,0.013679775409400463,0.9350330829620361,0.05097269266843796,0.9246123581544493,0.9996099033483136,0.0003901095709158975,0.3809094211829952,0.13793559698389518,1.8975386380380905,1.897935625156794,1.9027444320097013,0.19027444320097014,0.07267664675003255,syn_diag,10,1,2.2948827743530273,,,2.349738897755742,5cf77746f4b0503c88ed43942093c9646efceb5c5a5eabf7631c9e420ba798f1
