seed,run_id,method,config_fingerprint,step,layer,learning_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,kappa,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,trace_A,trace_G,trace_F,lambdaF_mean,lambdaF_median,lambdaF_q10,lambdaF_q90,beta_train,gamma_model,filtered_gradient_norm_before_gamma,compensated_gradient_norm,gamma_update_ratio,gamma_oracle,model_to_oracle_ratio,model_multiplicative_error,signal_retention_after_gamma,noise_retention_after_gamma,relmse_after_gamma,cosine_after_gamma,snr_gain_db_after_gamma
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,0,conv1,0.5,0.02743677545545782,8.414774423671854,8.414852996324656,8.14305620969768e-05,94062.99830423968,1.0002647782695713,0.00449401677791516,-0.043122739182236275,3.3990690140017717e-10,9.371738494683163e-11,1.0631172902198439e-05,3.8552767776066756e-05,5.594743512992315,0.9999893660121801,0.9544053178403705,0.47720265892018526,2.1077073268982858,0.01371838772772891,153.6410377499643,0.523886435514501,1.4900602922426178,6.7567637842103074e-06,8.316788296927524e-06,9.727551741889329e-07,2.4669068807270378e-05,1.336542993612966e-06,1.4257598763833812e-06,2.3283872678803164e-06,5.647487455462397e-06,2.1822841881657932e-05,3.1443393230438232,0.00016066929674707353,0.0005051987827755511,3.157492168881504e-06,1.0880588661166257e-06,6.245679429639495e-07,1.0198045765719136e-05,1.0,51766.983523626586,8.14305620969768e-05,4.2154146537965715,51766.98459696711,54240.0409511181,0.9544053178403706,1.0477728710300998,0.9108895107219787,0.25114577717814557,23619.819297913153,-0.04312273971774224,5.595397964207347
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,0,conv2,0.5,0.1220335190109345,46.553354266192315,46.55461842496435,0.0009956020453453956,145527.0368673731,0.999878762725707,0.01166961927800239,0.011509394605987208,4.087133105853169e-08,4.5773064301508045e-10,6.871575354373537e-06,0.0006135707809646527,19.508082938997834,0.9999931292577362,0.9172671618007333,0.45863358090036666,2.258615120787249,0.06101675950546725,37.01630730730391,0.5450974599569004,2.3280648161160666,2.949642273905308e-06,2.308853664802872e-05,1.88441813264717e-08,0.00028217010549269617,4.417268435474853e-08,7.157259496182178e-08,1.4132212555750812e-07,3.222417745973871e-07,1.737417881031434e-06,19.259838104248047,0.00033213189453817904,0.006396806333214045,1.3786223057256878e-06,6.603989533005006e-08,2.0641915376984345e-08,8.118974847093344e-07,1.0,4537.184661332427,0.0009956020453453956,4.517230241574498,4537.184573588712,4946.415668500823,0.9172671618007333,1.0901949199149892,0.8413790461179728,0.009422863455253234,1370.3549359872382,0.011509395404150068,19.508087318190558
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,0,fc1,0.5,0.42214772153515695,306.3290999472629,306.3297565163868,0.24465570940083464,526559.6915709171,1.4532371323850108,0.0022443462243324935,-0.10125005463478826,0.005455327089833289,6.974529206406145e-07,1.8991199212591236e-06,0.014854508521766285,38.93305669167547,0.9999972401284115,0.49415711535358997,0.24707855767679499,0.8184271355181721,0.21107386076757848,3.877444286744232,1.0118239411390797,0.3004744558214059,5.557345844175057e-06,0.0007880831924475712,1.2825099315882937e-10,0.22269898653030396,2.114966562993814e-10,2.135501185607236e-10,2.139947247181695e-10,2.1444812939308555e-10,2.1843701569768116e-10,48.28453063964844,0.01228325068950653,0.5930910110473633,2.9531679974141197e-06,9.99998209239017e-11,9.883247761854896e-11,1.0207570760867313e-10,1.0,6.690439619594333,0.24465570940083464,1.6368542710363443,6.690439700119911,13.539093967729363,0.49415711535358997,2.0236478822822543,0.24419125465458122,3.121937529119603e-05,16.81975708865426,-0.10125005464053648,38.933056690053256
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,0,fc2,0.5,0.13642323041494472,25.068343595047605,25.068797897051684,0.07232639339044394,33765.611481000036,0.9353123751929132,0.00605103923761211,0.3260883591064332,0.0005123966081379171,7.824780954532337e-06,2.9615930412187832e-05,0.0019393644852119547,18.16134042890452,0.9999722998537811,0.6085668784078986,0.3042834392039493,0.9722366640055234,0.06821161520747236,14.253242076648036,0.8216023870823412,0.19350464009961055,0.00015411207158836542,0.0022791230574464726,2.1097437685746456e-10,0.05084105581045151,2.139657895305902e-10,2.1427293966924665e-10,1.6654396262083537e-07,1.691409678983291e-07,3.3396446781353005e-07,1.7126202583312988,0.05615962669253349,0.09618011116981506,7.455823577860141e-05,7.78260762501759e-08,9.998630395857688e-11,1.5606178891403033e-07,1.0,26.884699639855157,0.07232639339044394,1.9444733280110469,26.884699165269847,44.177066800266104,0.6085668784078986,1.6432047741673825,0.37035364549513405,0.005655650536492105,194.85927707391298,0.326088358247878,18.16134048258568
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,1,conv1,0.5,0.0478273470365347,8.79795639006504,8.79708422958765,9.853336092319435e-05,33838.49404379873,1.0001252848215825,-0.015518142614605436,-0.029376163455345713,5.542777685358012e-10,1.255185541725913e-10,2.9552142547137994e-05,0.00013048596651167262,6.44974822414213,0.999970444155005,1.218755501688757,0.6093777508443785,2.5503875072421605,0.02391367351826735,106.64975856542084,0.4102545582824196,4.527831811981146,6.7567637842103074e-06,8.316788296927524e-06,9.727551741889329e-07,2.4669068807270378e-05,1.336542993612966e-06,1.4257598763833812e-06,2.3283872678803164e-06,5.647487455462397e-06,2.1822841881657932e-05,3.1443393230438232,0.00016066929674707353,0.0005051987827755511,3.157492168881504e-06,1.0880588661166257e-06,6.245679429639495e-07,1.0198045765719136e-05,1.0,51766.983523626586,9.853336092319435e-05,5.100775014484321,51766.98497537618,42475.28191823229,1.218755501688757,1.218755501688757,1.4853649728966136,0.3363672050371092,11381.436919008851,-0.029376161065168303,6.450195155902852
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,1,conv2,0.5,0.12109416251345073,47.44880835986728,47.44895772259801,0.0009902086167020757,153533.8724505071,1.0002447006165744,0.002509487525180718,-0.010873825592967989,4.4506197326328034e-08,4.360843690150488e-10,6.513220724333405e-06,0.0006647300663592822,20.088494606540376,0.9999934851854861,0.9571867975517381,0.47859339877586904,2.246379630397,0.060547081256725366,37.101369442319374,0.5223640790683299,2.292362067677903,2.949642273905308e-06,2.308853664802872e-05,1.88441813264717e-08,0.00028217010549269617,4.417268435474853e-08,7.157259496182178e-08,1.4132212555750812e-07,3.222417745973871e-07,1.737417881031434e-06,19.259838104248047,0.00033213189453817904,0.006396806333214045,1.3786223057256878e-06,6.603989533005006e-08,2.0641915376984345e-08,8.118974847093344e-07,1.0,4537.184661332427,0.0009902086167020757,4.492759260794,4537.184574051972,4740.124574364683,0.9571867975517381,1.0447281581377512,0.916206565407352,0.008977252292160147,1378.3184820975919,-0.010873825720753015,20.08849902635091
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,1,fc1,0.5,0.5715089913119396,306.8801839757385,306.88229263462455,0.37598870631758846,288331.145246857,1.4019201826893766,0.004620774532432965,0.023481194139345064,0.0005075491069703223,1.49077052676782e-06,3.4682344120014522e-06,0.001180798283143202,25.320671451576374,0.9999951378121795,0.15072791428375537,0.07536395714187769,1.2577648840209172,0.2857544956559698,4.401557641741478,3.3172355789080936,0.550712320817414,5.557345844175057e-06,0.0007880831924475712,1.2825099315882937e-10,0.22269898653030396,2.114966562993814e-10,2.135501185607236e-10,2.139947247181695e-10,2.1444812939308555e-10,2.1843701569768116e-10,48.28453063964844,0.01228325068950653,0.5930910110473633,2.9531679974141197e-06,9.99998209239017e-11,9.883247761854896e-11,1.0207570760867313e-10,1.0,6.690439619594333,0.37598870631758846,2.5155297680418345,6.690439701444192,44.3875286896038,0.15072791428375534,6.6344711578602045,0.022718904144331104,6.672984393766745e-05,20.16700201459401,0.02348119414495888,25.32067145734993
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,1,fc2,0.5,0.24970215531873632,24.433615307126185,24.4339661971186,0.04140794577369779,9574.825808654437,1.0727668566989323,0.006514958447791171,-0.13648815547217727,0.0001160840539826875,3.1046964093136496e-06,0.00010444054231044976,0.0039050135494185134,15.727534228188238,0.9998879596477119,0.2896619647112685,0.14483098235563424,0.5566200690591571,0.12485107765936816,4.458272042900007,1.7261499986602238,0.6482750499226101,0.00015411207158836542,0.0022791230574464726,2.1097437685746456e-10,0.05084105581045151,2.139657895305902e-10,2.1427293966924665e-10,1.6654396262083537e-07,1.691409678983291e-07,3.3396446781353005e-07,1.7126202583312988,0.05615962669253349,0.09618011116981506,7.455823577860141e-05,7.78260762501759e-08,9.998630395857688e-11,1.5606178891403033e-07,1.0,26.884699639855157,0.04140794577369779,1.1132401381183141,26.88469851178759,92.81404849495341,0.2896619647112685,3.4522999973323656,0.08390405380039215,0.0022440344355977317,22.093192266143888,-0.13648815571992784,15.727534420648155
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,2,conv1,0.5,0.018209113443062665,7.195590687217698,7.196861286554601,8.352920860574213e-05,156154.7853232992,0.9990145325901371,0.071037123347608,0.10970773072032575,7.737593910049392e-10,1.3457846910785104e-10,6.403902351847022e-06,3.681397637278627e-05,7.595679721529716,0.9999936024084659,1.3194973544146795,0.6597486772073398,1.9811343380092168,0.009104556721531333,217.598110307385,0.3789321731693943,0.6232710657296485,7.115024219928046e-06,9.009586436581228e-06,9.041412454280362e-07,3.178442420903593e-05,1.2813976809411544e-06,1.432286950375783e-06,2.5063221755772247e-06,5.751141316068242e-06,2.5385570370417555e-05,3.148954391479492,0.00016894069267436862,0.0005319865304045379,3.324915365965353e-06,1.1712083392012573e-06,5.987984195598984e-07,1.186298904940486e-05,1.0,47435.72659793278,8.352920860574213e-05,3.9622686760184336,47435.72628253121,35949.845931275064,1.3194973544146795,1.3194973544146795,1.7410732683073387,0.3028214943525108,47302.193086830506,0.10970773179597108,7.5963029991728535
42,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,db82dbe7a4d51a338d754cb2fb9677ab0c7bb8804ce4c2b3c0a289ae92450320,2,conv2,0.5,0.05262166754732477,46.47006715418818,46.47043469381645,4.202685982243939,779861.3317469904,6368.129080842639,0.007550724996169329,0.07174921577233796,0.7079746315630567,0.0081649582421904,1.2822792449508094e-06,0.00011118503602894847,19.380633935456903,0.9918342802475189,1.1033231775567165,0.5516615887783582,2.7554392950817688,0.026310833773662386,104.72641493160458,0.4531763767591515,0.10280176020836125,0.023394755616093818,0.09720956265441011,1.3301638546181493e-06,0.9308757185935974,7.39159993827343e-05,0.0002400992307229899,0.001169459370430559,0.0041582375997677445,0.029709929972887038,74.63963317871094,0.0003608769620768726,0.026935724541544914,5.805111503997794e-06,8.516733629448936e-08,5.3771272767733085e-09,2.227305481028452e-06,6424.1613264642665,1.3112753386388716,4.202685982243939,5.5108785901635375,1.3112753637665584,1.1884780137970636,1.1033231775567167,1.1033231775567167,1.21732203413385,0.014039180406870124,10953.593904932048,0.07174921619233057,19.38063393836712
